Datum;Uhrzeit;Status_Code;Verursacher_Name;Sonnen_Elevation
5.2.2026;14:30;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);370.57
5.2.2026;14:45;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);348.87
5.2.2026;15:00;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);324.70
5.2.2026;15:15;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);298.19
5.2.2026;15:30;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);269.45
5.2.2026;15:45;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);238.62
5.2.2026;16:00;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);205.86
5.2.2026;16:15;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);171.32
5.2.2026;16:30;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);135.24
5.2.2026;16:45;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);97.87
5.2.2026;17:00;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);59.79
5.2.2026;17:15;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20777);22.03
5.2.2026;17:30;2;NACHT;-22.67
5.2.2026;17:45;2;NACHT;-68.01
5.2.2026;18:00;2;NACHT;-111.97
5.2.2026;18:15;2;NACHT;-156.07
5.2.2026;18:30;2;NACHT;-200.34
5.2.2026;18:45;2;NACHT;-244.66
5.2.2026;19:00;2;NACHT;-288.89
5.2.2026;19:15;2;NACHT;-332.84
5.2.2026;19:30;2;NACHT;-376.32
5.2.2026;19:45;2;NACHT;-419.16
5.2.2026;20:00;2;NACHT;-461.18
