Datum;Uhrzeit;Status_Code;Verursacher_Name;Sonnen_Elevation
1.3.2026;06:00;2;NACHT;-398.97
1.3.2026;06:15;2;NACHT;-356.76
1.3.2026;06:30;2;NACHT;-313.49
1.3.2026;06:45;2;NACHT;-269.33
1.3.2026;07:00;2;NACHT;-224.47
1.3.2026;07:15;2;NACHT;-179.07
1.3.2026;07:30;2;NACHT;-133.28
1.3.2026;07:45;2;NACHT;-87.15
1.3.2026;08:00;2;NACHT;-40.14
1.3.2026;08:15;0;-;11.21
1.3.2026;08:30;0;-;52.00
1.3.2026;08:45;0;-;94.37
1.3.2026;09:00;1;UMGEBUNG (FOUR Frankfurt);136.77
1.3.2026;09:15;1;UMGEBUNG (FOUR Frankfurt);178.46
1.3.2026;09:30;1;UMGEBUNG (FOUR Frankfurt);219.10
1.3.2026;09:45;1;UMGEBUNG (FOUR Frankfurt);258.43
1.3.2026;10:00;1;UMGEBUNG (FOUR Frankfurt);296.25
1.3.2026;10:15;0;-;332.38
1.3.2026;10:30;0;-;366.64
1.3.2026;10:45;0;-;398.89
1.3.2026;11:00;0;-;428.98
1.3.2026;11:15;0;-;456.77
1.3.2026;11:30;0;-;482.14
1.3.2026;11:45;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20707);504.99
1.3.2026;12:00;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20707);525.22
1.3.2026;12:15;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20707);542.73
1.3.2026;12:30;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20707);557.46
1.3.2026;12:45;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20707);569.34
1.3.2026;13:00;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20707);578.31
1.3.2026;13:15;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20707);584.34
1.3.2026;13:30;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20707);587.41
1.3.2026;13:45;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20707);587.50
1.3.2026;14:00;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20707);584.60
1.3.2026;14:15;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20707);578.74
1.3.2026;14:30;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20707);569.94
1.3.2026;14:45;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20707);558.24
1.3.2026;15:00;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20707);543.68
1.3.2026;15:15;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20707);526.33
1.3.2026;15:30;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20707);506.27
