Datum;Uhrzeit;Status_Code;Verursacher_Name;Sonnen_Elevation_Grad
1.3.2026;06:00;2;NACHT;-11.84°
1.3.2026;07:00;2;NACHT;-2.24°
1.3.2026;08:00;1;UMGEBUNG (FOUR Frankfurt);7.05°
1.3.2026;09:00;1;UMGEBUNG (FOUR Frankfurt);15.63°
1.3.2026;10:00;1;UMGEBUNG (FOUR Frankfurt);23.01°
1.3.2026;11:00;0;-;28.61°
1.3.2026;12:00;1;UMGEBUNG (Commerzbank Tower);31.82°
1.3.2026;13:00;0;-;32.21°
1.3.2026;14:00;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20299);29.71°
1.3.2026;15:00;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20299);24.69°
1.3.2026;16:00;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20299);17.73°
1.3.2026;17:00;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20299);9.42°
1.3.2026;18:00;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20299);0.29°
1.3.2026;19:00;2;NACHT;-9.25°
1.3.2026;20:00;2;NACHT;-18.80°
