SensorID;8.4._06:00;8.4._07:00;8.4._08:00;8.4._09:00;8.4._10:00;8.4._11:00;8.4._12:00;8.4._13:00;8.4._14:00;8.4._15:00;8.4._16:00;8.4._17:00;8.4._18:00;8.4._19:00;8.4._20:00
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.035;-2;-1;-1;21.8;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.036;-2;-1;-1;21.8;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.037;-2;-1;-1;21.8;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.038;-2;-1;-1;21.8;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.039;-2;-1;-1;22.2;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.040;-2;-1;-1;21.0;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.041;-2;-1;-1;21.0;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.042;-2;-1;-1;22.2;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.043;-2;-1;-1;22.2;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.044;-2;-1;-1;22.2;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.045;-2;-1;-1;22.2;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.046;-2;-1;-1;21.0;-1;-1;-1;-1;-1;0;0;0;0;0;0
