Datum;Uhrzeit;Status_Code;Verursacher_Name;Sonnen_Elevation_Grad
1.3.2026;06:00;2;NACHT;-11.84°
1.3.2026;06:15;2;NACHT;-9.44°
1.3.2026;06:30;2;NACHT;-7.03°
1.3.2026;06:45;2;NACHT;-4.63°
1.3.2026;07:00;2;NACHT;-2.24°
1.3.2026;07:15;1;UMGEBUNG (FOUR Frankfurt);0.12°
1.3.2026;07:30;1;UMGEBUNG (FOUR Frankfurt);2.47°
1.3.2026;07:45;1;UMGEBUNG (FOUR Frankfurt);4.78°
1.3.2026;08:00;1;UMGEBUNG (FOUR Frankfurt);7.05°
1.3.2026;08:15;1;UMGEBUNG (FOUR Frankfurt);9.28°
1.3.2026;08:30;1;UMGEBUNG (FOUR Frankfurt);11.46°
1.3.2026;08:45;1;UMGEBUNG (FOUR Frankfurt);13.58°
1.3.2026;09:00;1;UMGEBUNG (FOUR Frankfurt);15.63°
1.3.2026;09:15;1;UMGEBUNG (FOUR Frankfurt);17.61°
1.3.2026;09:30;1;UMGEBUNG (FOUR Frankfurt);19.50°
1.3.2026;09:45;1;UMGEBUNG (FOUR Frankfurt);21.30°
1.3.2026;10:00;1;UMGEBUNG (FOUR Frankfurt);23.01°
1.3.2026;10:15;1;UMGEBUNG (FOUR Frankfurt);24.60°
1.3.2026;10:30;0;-;26.07°
1.3.2026;10:45;0;-;27.41°
1.3.2026;11:00;0;-;28.61°
1.3.2026;11:15;0;-;29.66°
1.3.2026;11:30;0;-;30.55°
1.3.2026;11:45;0;-;31.27°
1.3.2026;12:00;1;UMGEBUNG (Commerzbank Tower);31.82°
1.3.2026;12:15;1;UMGEBUNG (Commerzbank Tower);32.20°
1.3.2026;12:30;0;-;32.39°
1.3.2026;12:45;0;-;32.39°
1.3.2026;13:00;0;-;32.21°
1.3.2026;13:15;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20299);31.85°
1.3.2026;13:30;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20299);31.31°
1.3.2026;13:45;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20299);30.60°
1.3.2026;14:00;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20299);29.71°
1.3.2026;14:15;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20299);28.67°
1.3.2026;14:30;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20299);27.48°
1.3.2026;14:45;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20299);26.15°
1.3.2026;15:00;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20299);24.69°
1.3.2026;15:15;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20299);23.11°
1.3.2026;15:30;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20299);21.41°
1.3.2026;15:45;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20299);19.62°
1.3.2026;16:00;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20299);17.73°
1.3.2026;16:15;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20299);15.75°
1.3.2026;16:30;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20299);13.71°
1.3.2026;16:45;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20299);11.60°
1.3.2026;17:00;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20299);9.42°
1.3.2026;17:15;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20299);7.20°
1.3.2026;17:30;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20299);4.93°
1.3.2026;17:45;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20299);2.63°
1.3.2026;18:00;1;GEBÄUDE/BAUTEIL (IfcCurtainWall/Curtain Wall:UNHP_FAS_TBG_XXX_25.0_FD135.0:20299);0.29°
1.3.2026;18:15;2;NACHT;-2.07°
1.3.2026;18:30;2;NACHT;-4.45°
1.3.2026;18:45;2;NACHT;-6.85°
1.3.2026;19:00;2;NACHT;-9.25°
1.3.2026;19:15;2;NACHT;-11.65°
1.3.2026;19:30;2;NACHT;-14.04°
1.3.2026;19:45;2;NACHT;-16.43°
1.3.2026;20:00;2;NACHT;-18.80°
