SensorID;10.4._00:00;10.4._01:00;10.4._02:00;10.4._03:00;10.4._04:00;10.4._05:00;10.4._06:00;10.4._07:00;10.4._08:00;10.4._09:00;10.4._10:00;10.4._11:00;10.4._12:00;10.4._13:00;10.4._14:00;10.4._15:00;10.4._16:00;10.4._17:00;10.4._18:00;10.4._19:00;10.4._20:00;10.4._21:00;10.4._22:00;10.4._23:00
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.024;-2;-2;-2;-2;-2;-2;-2;-1;13.2;22.3;-1;-1;64.4;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.025;-2;-2;-2;-2;-2;-2;-2;-1;13.2;-1;-1;-1;64.4;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.026;-2;-2;-2;-2;-2;-2;-2;17.3;-1;-1;-1;-1;64.4;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.027;-2;-2;-2;-2;-2;-2;-2;17.3;-1;-1;-1;49.8;-1;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.028;-2;-2;-2;-2;-2;-2;-2;-1;-1;-1;-1;49.8;-1;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.029;-2;-2;-2;-2;-2;-2;-2;-1;13.2;-1;-1;-1;64.4;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.030;-2;-2;-2;-2;-2;-2;-2;17.3;-1;-1;-1;-1;-1;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.031;-2;-2;-2;-2;-2;-2;-2;17.3;-1;-1;-1;49.8;-1;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.032;-2;-2;-2;-2;-2;-2;-2;-1;-1;-1;-1;49.8;-1;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.033;-2;-2;-2;-2;-2;-2;-2;-1;-1;-1;-1;49.8;-1;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
